GameID,TurnCount,,Epsilon,AverageLoss,cities,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
10,414,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.9980579999999442,11595746.940270131,2,0,2,8,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.1111111111111111,58,12,20,20,10,9,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
11,333,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",0.9978339999999377,10185627.711024692,3,0,2,11,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.05555555555555555, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.16666666666666666,95,33,14,16,10,24,12,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",4,5
12,401,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.9975179999999286,6958268.290987811,9,2,3,15,FALSE,FALSE,2,"{'WOOD': 0.027777777777777776, 'BRICK': 0.3888888888888889, 'SHEEP': 0.027777777777777776, 'WHEAT': 0, 'ORE': 0.2777777777777778}",0.7222222222222223,263,63,15,17,10,60,49,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",3,5
13,410,"[RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE]",0.9972079999999197,6985448.349251827,4,0,3,15,FALSE,FALSE,1,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.3333333333333333,145,46,19,21,13,27,16,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",5,6
14,268,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE]",0.9970169999999142,7831694.814703656,3,0,3,8,FALSE,FALSE,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.19444444444444445,71,22,13,14,10,8,4,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",2,2
15,537,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.9966309999999031,6829222.2807313595,9,2,0,12,FALSE,TRUE,3,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0.38888888888888884, 'WHEAT': 0, 'ORE': 0.2222222222222222}",0.6666666666666666,241,65,32,38,19,87,61,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 6, 'MONOPOLY': 2, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",10,13
16,279,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE]",0.996418,6636710.408556155,10,2,0,9,FALSE,TRUE,4,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0.4444444444444444, 'WHEAT': 0.2777777777777778, 'ORE': 0.2222222222222222}",1,145,62,8,17,13,32,21,"{'KNIGHT': 0, 'VP': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,"{'KNIGHT': 9, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",10,14
17,228,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",0.996243,6296390.527293527,10,1,5,15,TRUE,FALSE,1,"{'WOOD': 0.33333333333333337, 'BRICK': 0.16666666666666666, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.4722222222222222, 'ORE': 0.1388888888888889}",1.3333333333333333,146,52,4,5,2,44,33,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,3
18,147,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.9960979999998878,9503102.078471849,10,3,2,15,FALSE,TRUE,0,"{'WOOD': 0.5277777777777778, 'BRICK': 0.2222222222222222, 'SHEEP': 0.25, 'WHEAT': 0.4166666666666667, 'ORE': 0.3055555555555555}",1.7222222222222223,145,64,9,12,9,19,12,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,5
19,317,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.995895,12429004.651249327,4,1,1,4,FALSE,FALSE,1,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.3055555555555555, 'ORE': 0.05555555555555555}",0.41666666666666663,95,27,10,12,6,17,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 2}",5,6
20,523,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.9955449999998719,10478055.098028738,8,0,3,12,FALSE,TRUE,3,"{'WOOD': 0.05555555555555555, 'BRICK': 0, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.3611111111111111,128,45,24,28,18,9,0,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,7
21,364,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.99527,11320614.161159446,10,2,1,13,FALSE,TRUE,3,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0.3055555555555556, 'WHEAT': 0.1111111111111111, 'ORE': 0.08333333333333333}",0.6666666666666666,139,75,16,24,19,25,12,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 8, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",10,13
22,101,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",0.9951989999998619,10549149.721775968,3,0,3,15,FALSE,FALSE,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0.2222222222222222, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0}",0.4444444444444444,46,30,1,1,1,2,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
23,115,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.9951279999998599,10559053.773004236,3,0,2,3,FALSE,FALSE,1,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0.027777777777777776, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.2222222222222222,29,5,4,4,3,12,8,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
24,330,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",0.9948349999998515,10623793.267724777,10,4,1,15,FALSE,FALSE,1,"{'WOOD': 0.6666666666666666, 'BRICK': 0.38888888888888884, 'SHEEP': 0.5555555555555556, 'WHEAT': 0.5555555555555556, 'ORE': 0.3333333333333333}",2.5,369,79,12,16,8,93,71,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",5,7
25,432,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",0.9945549999998434,12673623.808222307,2,0,2,13,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.08333333333333333, 'WHEAT': 0, 'ORE': 0}",0.2222222222222222,122,33,16,20,9,29,16,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,5
26,293,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.9943569999998377,12546726.251368668,2,0,2,8,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0}",0.2222222222222222,69,17,17,19,15,13,8,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,3
27,317,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",0.9941609999998321,11661589.481828962,2,0,2,14,FALSE,FALSE,0,"{'WOOD': 0.05555555555555555, 'BRICK': 0.027777777777777776, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.083333333,55,24,17,17,15,8,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,0
28,341,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.9939099999998249,8175576.745325339,5,0,3,13,FALSE,FALSE,2,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.2222222222222222}",0.4444444444444444,149,44,10,11,9,13,4,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 2}",4,6
29,577,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.9934549999998118,10309790.721123798,7,3,1,15,FALSE,FALSE,0,"{'WOOD': 0.5555555555555556, 'BRICK': 0.3055555555555555, 'SHEEP': 0, 'WHEAT': 0.75, 'ORE': 0.2777777777777778}",1.8888888888888888,491,61,24,26,15,175,155,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",4,4
30,236,"[RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE]",0.9932689999998064,11656084.037786668,10,3,1,15,TRUE,FALSE,1,"{'WOOD': 0.3333333333333333, 'BRICK': 0.16666666666666666, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.3333333333333333, 'ORE': 0.16666666666666666}",1.1388888888888888,151,54,8,8,7,25,12,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,3
31,467,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE]",0.992906,12713365.929890614,10,1,4,15,TRUE,FALSE,2,"{'WOOD': 0.1388888888888889, 'BRICK': 0.16666666666666666, 'SHEEP': 0.5, 'WHEAT': 0.1111111111111111, 'ORE': 0.1388888888888889}",1.0555555555555556,249,51,24,25,14,59,33,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,4
32,195,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE]",0.9927729999997922,10682188.674459586,3,0,2,11,FALSE,FALSE,1,"{'WOOD': 0.25, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.3611111111111111,92,21,6,6,5,11,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
33,280,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE]",0.9925699999997863,11861901.066822372,6,1,1,6,FALSE,FALSE,3,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.027777777777777776, 'WHEAT': 0.49999999999999994, 'ORE': 0.1111111111111111}",0.6388888888888888,132,30,16,19,12,31,22,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",4,7
34,263,"[RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE]",0.9923999999997815,10902238.716242531,2,0,2,7,FALSE,FALSE,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.05555555555555555}",0.3055555555555556,90,16,7,9,7,17,8,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
35,209,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE]",0.9922279999997765,11232050.786101585,10,0,3,15,TRUE,TRUE,3,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.27777777777777773, 'WHEAT': 0.05555555555555555, 'ORE': 0.1111111111111111}",0.5833333333333333,121,66,13,20,9,29,19,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 7, 'MONOPOLY': 2, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",9,12
36,271,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",0.9920229999997706,12117815.509934736,6,0,4,15,TRUE,FALSE,0,"{'WOOD': 0.3888888888888889, 'BRICK': 0.2777777777777778, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.05555555555555555, 'ORE': 0.1111111111111111}",0.9444444444444446,152,49,13,15,9,20,8,"{'KNIGHT': 2, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,5
37,299,"[RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE]",0.9918299999997651,11450855.471740406,2,0,2,5,FALSE,FALSE,0,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.2222222222222222,66,18,11,14,9,8,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",4,4
38,291,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",0.9916459999997598,13937809.093017578,2,0,2,6,FALSE,FALSE,0,"{'WOOD': 0.16666666666666666, 'BRICK': 0, 'SHEEP': 0.05555555555555555, 'WHEAT': 0, 'ORE': 0.027777777777777776}",0.25,73,13,13,14,10,30,20,"{'KNIGHT': 1, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,3
39,130,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",0.9915259999997563,9204720.855916342,10,2,2,15,TRUE,TRUE,0,"{'WOOD': 0.41666666666666663, 'BRICK': 0.2777777777777778, 'SHEEP': 0.3888888888888889, 'WHEAT': 0.3333333333333333, 'ORE': 0.2222222222222222}",1.6388888888888888,141,56,1,4,4,31,25,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,4
40,199,"[RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE]",0.9913779999997521,11203050.934636297,4,2,0,11,FALSE,FALSE,0,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0.2777777777777778}",0.5555555555555556,126,33,6,8,5,26,17,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,3
