tiles:['hills', 'forest', 'desert', 'forest', 'mountains', 'pasture', 'mountains', 'fields', 'pasture', 'fields', 'hills', 'fields', 'forest', 'hills', 'forest', 'mountains', 'pasture', 'fields', 'pasture']
tiles:['hills', 'pasture', 'hills', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'mountains', 'pasture', 'mountains', 'desert', 'forest', 'fields', 'forest', 'fields']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '9']
tiles:['hills', 'pasture', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'hills', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '9', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '5']
tiles:['hills', 'pasture', 'hills', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'mountains', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '9', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '5']
tiles:['hills', 'pasture', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'hills', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '9', '12', '4', '3', '11', '5', '9', '11', '2', '5', '4', '3', '7', '8', '6', '10', '6']
tiles:['hills', 'pasture', 'hills', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'mountains', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '9', '12', '4', '3', '11', '5', '9', '11', '2', '5', '4', '3', '7', '8', '6', '10', '6']
tiles:['hills', 'pasture', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'hills', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '9', '4', '3', '7', '8', '6', '10', '6']
tiles:['hills', 'pasture', 'hills', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'mountains', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '9', '4', '3', '7', '8', '6', '10', '6']
tiles:['fields', 'pasture', 'fields', 'pasture', 'mountains', 'hills', 'forest', 'mountains', 'hills', 'forest', 'pasture', 'fields', 'forest', 'desert', 'mountains', 'hills', 'pasture', 'fields', 'forest']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '8', '3', '6', '2', '4']
tiles:['fields', 'pasture', 'fields', 'pasture', 'mountains', 'hills', 'forest', 'mountains', 'hills', 'forest', 'pasture', 'fields', 'pasture', 'desert', 'mountains', 'hills', 'forest', 'fields', 'forest']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '8', '3', '6', '2', '4']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '5', '11', '9', '5', '8', '7', '8', '3', '6', '2', '4']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '4', '11', '9', '5', '8', '7', '5', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '5', '11', '9', '5', '8', '7', '4', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '8', '10', '4', '11', '12', '4', '11', '9', '5', '8', '7', '5', '3', '6', '2', '9']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '5', '11', '9', '5', '8', '7', '8', '3', '6', '2', '9']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '4', '11', '9', '5', '8', '7', '8', '3', '6', '2', '9']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '4', '11', '9', '5', '8', '7', '8', '3', '6', '2', '5']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '5', '11', '5', '9', '8', '7', '9', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '4', '11', '5', '9', '8', '7', '9', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '8', '10', '4', '11', '12', '4', '11', '5', '9', '8', '7', '9', '3', '6', '2', '5']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '5', '9', '8', '7', '8', '3', '6', '2', '4']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '5', '9', '8', '7', '4', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '9', '11', '5', '9', '8', '7', '8', '3', '6', '2', '5']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '5', '11', '5', '9', '8', '7', '4', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '5', '11', '5', '9', '8', '7', '8', '3', '6', '2', '4']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '9', '10', '4', '11', '12', '4', '11', '5', '9', '8', '7', '8', '3', '6', '2', '5']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '5', '11', '5', '9', '8', '7', '8', '3', '6', '2', '9']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '4', '11', '5', '9', '8', '7', '8', '3', '6', '2', '9']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '4', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '5', '3', '6', '2', '8']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '5', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '8', '3', '6', '2', '4']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '4', '10', '4', '11', '12', '9', '11', '9', '5', '8', '7', '8', '3', '6', '2', '5']
tiles:['forest', 'pasture', 'forest', 'pasture', 'fields', 'mountains', 'hills', 'fields', 'mountains', 'forest', 'pasture', 'fields', 'forest', 'desert', 'hills', 'mountains', 'hills', 'fields', 'pasture']
tokens:['3', '6', '10', '8', '10', '4', '11', '12', '3', '11', '5', '9', '8', '7', '9', '4', '6', '2', '5']
tiles:['fields', 'forest', 'pasture', 'forest', 'mountains', 'desert', 'fields', 'mountains', 'hills', 'pasture', 'forest', 'pasture', 'pasture', 'forest', 'fields', 'hills', 'fields', 'hills', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['fields', 'forest', 'pasture', 'hills', 'mountains', 'desert', 'fields', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'pasture', 'hills', 'fields', 'hills', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['fields', 'forest', 'pasture', 'hills', 'mountains', 'desert', 'fields', 'mountains', 'forest', 'pasture', 'forest', 'pasture', 'pasture', 'hills', 'fields', 'hills', 'fields', 'mountains', 'forest']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['fields', 'forest', 'pasture', 'hills', 'mountains', 'desert', 'fields', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['fields', 'forest', 'fields', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['fields', 'forest', 'fields', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'forest', 'pasture', 'fields', 'mountains', 'desert', 'fields', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'forest', 'hills', 'fields', 'mountains', 'desert', 'fields', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'mountains', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'forest', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'pasture', 'pasture', 'forest', 'pasture', 'hills', 'mountains', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'fields', 'fields', 'hills', 'fields', 'forest', 'mountains', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['forest', 'fields', 'hills', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'mountains', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'forest', 'pasture', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'mountains', 'fields', 'mountains', 'desert', 'forest', 'pasture', 'forest', 'pasture', 'hills', 'pasture', 'fields', 'hills', 'fields', 'forest', 'pasture', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'forest', 'hills', 'mountains', 'desert', 'pasture', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'mountains', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'hills', 'fields', 'forest', 'mountains', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'pasture', 'hills', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'fields', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['pasture', 'fields', 'mountains', 'hills', 'mountains', 'desert', 'forest', 'fields', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
tokens:['8', '4', '6', '6', '2', '7', '3', '5', '12', '10', '11', '9', '11', '4', '3', '8', '9', '10', '5']
tiles:['hills', 'fields', 'pasture', 'fields', 'mountains', 'desert', 'forest', 'mountains', 'forest', 'pasture', 'hills', 'pasture', 'pasture', 'hills', 'fields', 'forest', 'fields', 'forest', 'mountains']
